dataset,group_kind,task,n,n_groups,eta_group,typeA_optimism_median,typeE_CminusB_median
microbiome_crc,natural,binary,468,3,0.0,-0.0113,0.1467
microbiome_crc,natural,binary,468,3,0.05,0.009,0.139
microbiome_crc,natural,binary,468,3,0.1,0.0064,0.1517
microbiome_crc,natural,binary,468,3,0.2,0.0368,0.1207
microbiome_crc,natural,binary,468,3,0.4,0.0899,0.108
microbiome_crc,natural,binary,468,3,0.8,0.2847,0.0347
microbiome_ob,natural,binary,962,3,0.0,-0.0106,0.0927
microbiome_ob,natural,binary,962,3,0.05,0.0035,0.0835
microbiome_ob,natural,binary,962,3,0.1,0.0216,0.0568
microbiome_ob,natural,binary,962,3,0.2,0.024,0.0644
microbiome_ob,natural,binary,962,3,0.4,0.1038,0.0272
microbiome_ob,natural,binary,962,3,0.8,0.2494,0.0067
microbiome_crc_kmeans,imposed,binary,468,3,0.0,-0.0158,0.1583
microbiome_crc_kmeans,imposed,binary,468,3,0.05,0.0294,0.1455
microbiome_crc_kmeans,imposed,binary,468,3,0.1,-0.0128,0.1456
microbiome_crc_kmeans,imposed,binary,468,3,0.2,0.0646,0.1078
microbiome_crc_kmeans,imposed,binary,468,3,0.4,0.0761,0.0781
microbiome_crc_kmeans,imposed,binary,468,3,0.8,0.337,0.0257
